subgraph_index,file_path,num_nodes,num_edges,file_interactions,process_interactions,socket_interactions
1,/home/admin/.thunderbird/9rg24kxh.default/cookies.sqlite-wal,9,15,1,6,2
2,/proc/29720/fd,9,15,1,6,2
3,/home/admin/.mozilla/firefox/wyd8o2f2.default/cookies.sqlite-shm,4,5,1,2,1
4,/dev/shm/org.chromium.bNoCsQ,4,5,1,2,1
5,/tmp/firefox_admin/lock,1,0,1,0,0
6,/home/admin/.thunderbird/9rg24kxh.default/datareporting/session-state.json,1,0,1,0,0
7,/home/admin/.mozilla/firefox/wyd8o2f2.default/cookies.sqlite-wal,4,5,1,2,1
8,/proc/29615/task/29615/stat,9,15,1,6,2
9,/proc/29612/fd,10,16,1,7,2
10,/home/admin/.mozilla/firefox/wyd8o2f2.default/lock,1,0,1,0,0
11,/home/admin/.cache/thunderbird/9rg24kxh.default/cache2/doomed/199967884,9,15,1,6,2
12,/home/admin/.cache/thunderbird/9rg24kxh.default/cache2/entries/33F183408AD2CA65C177727025497821CEE65733,9,15,1,6,2
13,/home/admin/.cache/thunderbird/9rg24kxh.default/cache2/doomed/760415257,9,15,1,6,2
14,/proc/29758/mountinfo,4,5,1,2,1
15,/usr/lib/gvfs/gvfsd-http,2,2,1,1,0
16,/proc/29615/stat,9,15,1,6,2
17,/home/admin/.thunderbird/9rg24kxh.default/lock,1,0,1,0,0
18,/proc/29644/fd,9,15,1,6,2
19,/home/admin/.thunderbird/9rg24kxh.default/webappsstore.sqlite-shm,9,15,1,6,2
20,/dev/shm/org.chromium.xHad64,4,5,1,2,1
21,/home/admin/.thunderbird/9rg24kxh.default/datareporting/aborted-session-ping,1,0,1,0,0
22,/usr/lib/x86_64-linux-gnu/gvfs/libgvfsdaemon.so,2,2,1,1,0
23,/home/admin/.thunderbird/9rg24kxh.default/cookies.sqlite-shm,9,16,1,6,2
24,/home/admin/.cache/thunderbird/9rg24kxh.default/cache2/entries/ED08F3FA6E12FEBDF4C6D410C76BD036E0EF96DD,9,15,1,6,2
25,/home/admin/.mozilla/firefox/wyd8o2f2.default/extensions.json.tmp,4,5,1,2,1
26,/home/admin/.thunderbird/9rg24kxh.default/datareporting/session-state.json.tmp,9,15,1,6,2
27,/home/admin/.thunderbird/9rg24kxh.default/places.sqlite-shm,9,15,1,6,2
28,/home/admin/.mozilla/firefox/wyd8o2f2.default/extensions.ini.tmp,4,5,1,2,1
29,/proc/29723/task/29723/stat,4,5,1,2,1
30,/tmp/firefox_admin/.parentlock,4,5,1,2,1
31,/tmp/thunderbird_admin/lock,9,15,1,6,2
32,/usr/lib/x86_64-linux-gnu/gio/modules/libgiolibproxy.so,2,2,1,1,0
33,/usr/lib/x86_64-linux-gnu/gio/modules/libgiognomeproxy.so,2,2,1,1,0
34,/home/admin/.thunderbird/9rg24kxh.default/crashes/store.json.mozlz4.tmp,9,15,1,6,2
35,/proc/29645/mountinfo,9,15,1,6,2
36,/usr/lib/x86_64-linux-gnu/libsecret-1.so.0,2,2,1,1,0
37,/home/admin/.cache/thunderbird/9rg24kxh.default/cache2/trash501967841/665132037,9,15,1,6,2
38,/home/admin/.thunderbird/9rg24kxh.default/xulstore.json.tmp,9,15,1,6,2
39,/home/admin/.cache/mozilla/firefox/wyd8o2f2.default/cache2/entries/28E28CF00CDC52DCF5E74F3DB0A11E4E76CCE938,4,5,1,2,1
40,/home/admin/.mozilla/firefox/wyd8o2f2.default/extensions.json,1,0,1,0,0
41,/proc/29612/mountinfo,9,15,1,6,2
42,/home/admin/.cache/thunderbird/9rg24kxh.default/cache2/trash501967841,9,15,1,6,2
43,/proc/29715/fd,3,4,1,2,0
44,/home/admin/.thunderbird/9rg24kxh.default/crashes/store.json.mozlz4,1,0,1,0,0
45,/home/admin/.thunderbird/9rg24kxh.default/datareporting/aborted-session-ping.tmp,9,15,1,6,2
46,/home/admin/.thunderbird/9rg24kxh.default/webappsstore.sqlite-wal,9,15,1,6,2
47,/home/admin/127.0.1.1:+29612,9,15,1,6,2
48,/usr/lib/x86_64-linux-gnu/libproxy.so.1,2,2,1,1,0
49,/home/admin/.thunderbird/9rg24kxh.default/xulstore.json,1,0,1,0,0
50,/home/admin/.thunderbird/9rg24kxh.default/sessionCheckpoints.json.tmp,9,15,1,6,2
51,/home/admin/.thunderbird/9rg24kxh.default/sessionCheckpoints.json,1,0,1,0,0
52,/proc/29723/stat,4,5,1,2,1
53,/home/admin/.thunderbird/9rg24kxh.default/places.sqlite-wal,9,15,1,6,2
54,/home/admin/127.0.1.1:+29720,4,5,1,2,1
55,/proc/29720/maps,4,5,1,2,1
56,/home/admin/.mozilla/firefox/wyd8o2f2.default/extensions.ini,1,0,1,0,0
57,/proc/29720/mountinfo,4,5,1,2,1
58,/proc/29612/status,9,15,1,6,2
59,/home/admin/.thunderbird/9rg24kxh.default/global-messages-db.sqlite-journal,9,15,1,6,2
